Date,Run,Plate,SDR,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20230626,5,9,641,30,1,0.1,9:24,9:47,0:23,3,20,removed first 2 minutes of every run
20230626,5,9,641,30,2,50,9:49,10:11,0:22,25,37,
20230626,5,9,641,30,3,100,10:13,10:29,0:16,39,55,
20230626,5,9,641,30,4,500,10:31,10:47,0:16,57,73,
20230626,5,9,641,30,5,0.2,10:50,11:02,0:12,76,88,
20230626,5,10,710,30,1,0.1,9:24,9:47,0:23,3,20,
20230626,5,10,710,30,2,50,9:49,10:11,0:22,25,37,
20230626,5,10,710,30,3,100,10:13,10:29,0:16,39,55,
20230626,5,10,710,30,4,500,10:31,10:47,0:16,57,73,
20230626,5,10,710,30,5,0.2,10:50,11:02,0:12,76,88,
20230626,6,11,641,36,1,0.1,12:37,13:02,0:25,3,25,
20230626,6,11,641,36,2,50,13:04,13:21,0:17,27,44,
20230626,6,11,641,36,3,100,13:23,13:39,0:16,46,60,
20230626,6,11,641,36,4,500,13:41,13:56,0:15,62,71,
20230626,6,11,641,36,5,0.2,13:58,14:10,0:12,73,87,
20230626,6,12,710,36,1,0.1,12:37,13:02,0:25,3,25,
20230626,6,12,710,36,2,50,13:04,13:21,0:17,27,44,
20230626,6,12,710,36,3,100,13:23,13:39,0:16,46,60,
20230626,6,12,710,36,4,500,13:41,13:56,0:15,62,71,
20230326,6,12,710,36,5,0.2,13:58,14:10,0:12,73,87,
20230626,7,13,641,27,1,0.1,15:39,15:59,0:20,3,18,
20230626,7,13,641,27,2,50,16:01,16:17,0:16,22,35,
20230626,7,13,641,27,3,100,16:19,16:34,0:15,35,45,
20230626,7,13,641,27,4,500,16:36,16:51,0:15,49,66,
20230626,7,13,641,27,5,0.2,16:54,17:08,0:14,70,81,
20230626,7,14,710,27,1,0.1,15:39,15:59,0:20,3,18,
20230626,7,14,710,27,2,50,16:01,16:17,0:16,22,35,
20230626,7,14,710,27,3,100,16:19,16:34,0:15,35,45,
20230626,7,14,710,27,4,500,16:36,16:51,0:15,49,66,
20230626,7,14,710,27,5,0.2,16:54,17:08,0:14,70,81,
20230626,8,15,641,33,1,0.1,18:10,18:28,0:18,3,15,
20230626,8,15,641,33,2,50,18:30,18:45,0:15,20,35,
20230626,8,15,641,33,3,100,18:47,19:02,0:15,37,48,
20230626,8,15,641,33,4,500,19:05,19:20,0:15,52,62,
20230626,8,15,641,33,5,0.2,19:22,19:34,0:12,64,74,
20230626,8,16,710,33,1,0.1,18:10,18:28,0:18,3,15,
20230626,8,16,710,33,2,50,18:30,18:45,0:15,20,35,
20230626,8,16,710,33,3,100,18:47,19:02,0:15,37,48,
20230626,8,16,710,33,4,500,19:05,19:20,0:15,52,62,
20230626,8,16,710,33,5,0.2,19:22,19:34,0:12,64,74,
