Lipid,VIP
ASG 28:1;O;Hex;FA 16:0,4.050906693155223
TG 46:2;O3|TG 12:0_16:0_18:2;O3,3.764450638925833
TG 42:0|TG 14:0_14:0_14:0,3.7184859796102074
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0),3.1825922098007804
TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0),2.969005381973949
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1),2.955239860180545
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0),2.944798159633476
TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0),2.5661099745140263
DG 34:2|DG 16:0_18:2,2.5410038659480656
TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0),2.4805826062566894
DG 34:8,2.34764205661589
TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0),2.293889372093971
Cer 33:1;O3|Cer 18:0;O2/15:1;O,2.261756005052893
PC O-40:9,2.1750552384440374
TG 44:0|TG 14:0_14:0_16:0,2.1588206477830987
BMP 18:2|BMP 8:1_10:1,2.1554629362880733
Cer 39:2;O3|Cer 18:1;O2/21:1;O,2.1432205795197024
LPC 21:4,2.1304215644508826
PC O-30:0,2.093604817397816
DG 36:9|DG 18:4_18:5,2.0760486926683575
TG O-52:6|TG O-22:0_15:3_15:3,2.068797544553707
TG O-54:7|TG O-19:4_15:3_20:0,2.0359612160800418
PC O-41:11,2.0264561027813923
TG O-54:7|TG O-14:1_20:3_20:3,1.9874398376772564
LPC 18:3,1.986249165201121
PC 35:2,1.9608472726879813
DG 34:1,1.9550859945051062
TG 64:1;O2|TG 16:0_16:0_18:0;O(FA 14:0),1.912868975477688
Cer 33:1;O4|Cer 18:0;O3/15:1(2OH),1.8075393223069967
Cer 37:4;O2|Cer 15:0;O2/22:4,1.7482856616874116
PC O-38:4|PC O-21:2_17:2,1.7443292242775337
TG O-51:8|TG O-21:0_15:4_15:4,1.7282968707173318
SE 24:1;O3/20:5,1.7215660255635699
